Distancia(km),Latencia(ms),Saltos,Tiempo promedio por salto(ms),DNS,IP
16160,290,24,12.1,www.tencent.com,109244194121
1778,60,11,5.5,www.akamai.com,184.28.118.72
3715,85,13,6.5,cloudflare.com,104.16.133.229
3912,80,13,6.2,wikimedia.com,208.80.154.224
18693,320,26,12.3,garena.com,202.81.112.196
3190,90,13,6.9,telmex.com,66225237224
3701,90,13,6.9,mozilla.org,104.247.81.54
3771,85,12,7.1,google.com,142.250.218.14
3190,90,13,6.9,github.com,140.82.114.3
14597,360,27,13.3,microsoftazure.com,20.70.246.20
5568,95,14,6.8,bbc.com,151.101.0.81
5507,90,13,6.9,intel.com,13.91.95.74
4521,95,14,6.8,spacex.com,20.141.12.34
8246,210,18,11.7,unesco.org,193.242.192.41
3314,85,12,7.1,cisco.com,72.163.4.185
8396,200,17,11.8,tesla.com,2.18.50.207
7717,190,16,11.9,,5.53.3.179
3471,100,13,7.7,,4.59.34.66
16506,350,26,13.5,,2.18.54.207
5074,95,14,6.8,pinterest.com,151.101.64.84
10435,281,13,86.33,dns.yandex.ru,77.88.8.8
3769,101,14,5,verisign.com  ,64.6.64.6
3769,64,10,18.64,dns.google  ,8.8.4.4
3374,70,10,42.4,ntt.com  ,129.250.35.250
3300,130,16,62.3, rdns1.ultradns.net,156.154.70.1
5560,35,11,17.65,quad9.net ,9.9.9.9
3730,58,10,26.7,cleanbrowsing.org  ,185.228.168.9
2700,128,8,10.0,level3.com,4.2.2.2
8500,42,10,5.15,cloudflare-dns.com ,1.1.1.1
5556,38,9,4.28,opendns.com  ,208.67.222.222
5280,72,9,40.8, dns1.safedns.com,195.46.39.39
5280,32,8,10.15,,76.76.19.19
8754,173,11,81.28,,84.200.69.80
3694,123,3,56.76,dns.cleanbrowsing.org,185228168168
3746,77,11,28.25,resolver1.lumen.tech,205.171.3.65
3700,73,9,30.42,ordns.he.net,74.82.42.42
11000,120,3,61.3,dns.adguard-dns.com,94.140.14.14
8928,169,30,44.76,anycast.censurfridns.dk ,91239100100
3715,58,11,26.66,p0.freedns.controld.com,76.76.2.0
3720,85,12,25.54, dns1.nextdns.io,45.90.28.0
